ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason,aggregate
wage_overdue,rosstat,m,"Overdue arrears of wages of month, total, mln rubles         ","Просроченная задолженность по заработной плате на начало месяца, млн рублей  ",2015-01-01,FALSE,"Просроченная задолженность по заработной плате на начало месяца, млн рублей  ",no,level,sum
ppi_mining,rosstat,m,Producer price index of industrial goods: Mining and quarrying,Индексы цен производителей промышленных товаров: добыча полезных ископаемых,2015-01-01,FALSE,Индексы цен производителей промышленных товаров: добыча полезных ископаемых,no,level,sum
ppi_manufacturing,rosstat,m,Producer price index of industrial goods: Manufacturing,Индексы цен производителей промышленных товаров: обрабатывающие производства,2015-01-01,FALSE,Индексы цен производителей промышленных товаров: обрабатывающие производства,no,level,sum
ppi_electricity,rosstat,m,"Producer price index of industrial goods: Electricity, gas, steam and air conditioning supply","Индексы цен производителей промышленных товаров: обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2015-01-01,FALSE,"Индексы цен производителей промышленных товаров: обеспечение электрической энергией, газом и паром; кондиционирование воздуха",no,level,sum
ppi_water,rosstat,m,"Producer price index of industrial goods: Water supply;sewerage, waste management and remediation activities","Индексы цен производителей промышленных товаров: водоснабжение; водоотведение,организация сбора и утилизация отходов, деятельность по ликвидации загрязнений",2015-01-01,FALSE,"Индексы цен производителей промышленных товаров: водоснабжение; водоотведение,организация сбора и утилизация отходов, деятельность по ликвидации загрязнений",no,level,sum
ppi_oil,rosstat,m,"Average producer prices for energy resources and refined products (end of period): dehydrated, desalted and stabilized oil, rubles per ton ","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): нефть обезвоженная, обессоленная и стабилизированная, рублей за тонну ",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): нефть обезвоженная, обессоленная и стабилизированная, рублей за тонну ",no,level,sum
ppil_coal,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Coal, except anthracite, coked coal and brown coal, rubles per ton","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): уголь, за исключением антрацита, угля коксующегося и угля бурого, рублей за тонну",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): уголь, за исключением антрацита, угля коксующегося и угля бурого, рублей за тонну",no,level,sum
ppi_gas,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Natural gas, rubles per thou cubic meter","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): газ горючий природный (газ естественный), рублей за тыс.куб.м",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): газ горючий природный (газ естественный), рублей за тыс.куб.м",no,level,sum
ppi_gasoline,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Gasoline, rubles per ton","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): бензин автомобильный, рублей за тонну",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): бензин автомобильный, рублей за тонну",no,level,sum
ppi_diesel,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Diesel oils, rubles per ton","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): топливо дизельное, рублей за тонну ",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): топливо дизельное, рублей за тонну ",no,level,sum
ppi_resid,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Residual fuel oil, rubles per ton","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): мазут топочный, рублей за тонну",2015-01-01,FALSE,"Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): мазут топочный, рублей за тонну",no,level,sum
ppi_animal,rosstat,m,"Producer price indices of animal husbandry products (end of period, percent of end of previous period)          ","Индексы цен производителей на продукцию животноводства  (на конец периода, в % к концу предыдущего периода)",2015-01-01,FALSE,"Индексы цен производителей на продукцию животноводства  (на конец периода, в % к концу предыдущего периода)",no,level,sum
ppi_cattle,rosstat,m,"Average producer prices of animal husbandry products: Cattle (live weight), rubles per ton","Индексы цен производителей на продукцию животноводства: скот крупный рогатый (в живом весе), рублей за тонну ",2015-01-01,FALSE,"Индексы цен производителей на продукцию животноводства: скот крупный рогатый (в живом весе), рублей за тонну ",no,level,sum
ppi_poultry,rosstat,m,"Average producer prices of animal husbandry products:Poultry (live weight), rubles per ton","Индексы цен производителей на продукцию животноводства: птица сельскохозяйственная (в живом весе), рублей за тонну ",2015-01-01,FALSE,"Индексы цен производителей на продукцию животноводства: птица сельскохозяйственная (в живом весе), рублей за тонну ",no,level,sum
ppi_milk,rosstat,m,"Average producer prices of animal husbandry products: Milk, rubles per ton","Индексы цен производителей на продукцию животноводства: молоко сырое крупного рогатого скота, рублей за тонну ",2015-01-01,FALSE,"Индексы цен производителей на продукцию животноводства: молоко сырое крупного рогатого скота, рублей за тонну ",no,level,sum
ppi_eggs,rosstat,m,"Average producer prices of animal husbandry products: Hen’s eggs in shell, fresh, rubles per thou pieces","Индексы цен производителей на продукцию животноводства: яйца куриные в скорлупе свежие, рублей за тыс. штук",2015-01-01,FALSE,"Индексы цен производителей на продукцию животноводства: яйца куриные в скорлупе свежие, рублей за тыс. штук",no,level,sum
ppi_investment,rosstat,m,"Aggregated price index for investment  products (expenditures, services) (end of period, percent of end of previous period)            ","Сводный индекс цен на продукцию (затраты, услуги) инвестиционного назначения (на конец периода, в % к концу предыдущего периода)",2015-01-01,FALSE,"Сводный индекс цен на продукцию (затраты, услуги) инвестиционного назначения (на конец периода, в % к концу предыдущего периода)",no,level,sum
ppi_construction,rosstat,m,Production price index for construction products,Индекс цен производителей на строительную продукцию,2015-01-01,FALSE,Индекс цен производителей на строительную продукцию,no,level,sum
cpi_food,rosstat,m,Consumer price index: food products,Индекс потребительских цен: продукты питания,2015-01-01,FALSE,Индекс потребительских цен: продукты питания,no,level,sum
cpi_alcohol,rosstat,m,Consumer price index: alcoholic beverages,Индекс потребительских цен: алкогольные напитки,2015-01-01,FALSE,Индекс потребительских цен: алкогольные напитки,no,level,sum
ppi_non_food,rosstat,m,Consumer price index: non-food products,Индекс потребительских цен: непродовольственные товары,2015-01-01,FALSE,Индекс потребительских цен: непродовольственные товары,no,level,sum
ppi_services,rosstat,m,Consumer price index: services,Индекс потребительских цен: услуги,2015-01-01,FALSE,Индекс потребительских цен: услуги,no,level,sum
employed_15_72,rosstat,m,"Number of employed population 15 to 72 years old, mln person","Численность занятых в возрасте 15-72 лет, млн человек",2015-01-01,FALSE,"Численность занятых в возрасте 15-72 лет, млн человек",no,level,sum
unemployed_15_72,rosstat,m,"Total number of unemployed 15 to 72 years old , mln person","Общая численность безработных в возрасте 15-72 лет, млн.человек",2015-01-01,FALSE,"Общая численность безработных в возрасте 15-72 лет, млн.человек",no,level,sum
unemployed,rosstat,m,"Total number of unemployed aged 15 years and over, mln person","Общая численность безработных в возрасте 15 лет и старше, млн человек",2015-01-01,FALSE,"Общая численность безработных в возрасте 15 лет и старше, млн человек",no,level,sum
unemployment_15_72,rosstat,m,"Unemployment rate 15 to 72 years old, percent","Уровень безработицы в возрасте 15-72 лет, % ",2015-01-01,FALSE,"Уровень безработицы в возрасте 15-72 лет, % ",no,level,sum
unemployment_registered,rosstat,m,"Number of unemployed registered at bodies of state employment services, thou person                ","Численность официально зарегистрированных безработных в органах службы занятости населения, на конец месяца (по данным Федеральной службы по труду и занятости),  тыс.человек",2015-01-01,FALSE,"Численность официально зарегистрированных безработных в органах службы занятости населения, на конец месяца (по данным Федеральной службы по труду и занятости),  тыс.человек",no,level,sum
non_labor,rosstat,m,"Number of citizens not engaged in labor activities, registered with bodies of state employment services, thou person ","Численность граждан, не занятых трудовой деятельностью, состоящих  на учете в органах службы занятости населения (по данным Федеральной службы по труду и занятости), тыс.человек",2015-01-01,FALSE,"Численность граждан, не занятых трудовой деятельностью, состоящих  на учете в органах службы занятости населения (по данным Федеральной службы по труду и занятости), тыс.человек",no,level,sum
employer_demands,rosstat,m,"Employer demands for employees entered to bodies of state employment services, thou person","Потребность работодателей в работниках, заявленная  в органы службы занятости населения, тыс.человек",2015-01-01,FALSE,"Потребность работодателей в работниках, заявленная  в органы службы занятости населения, тыс.человек",no,level,sum
non_labor_to_employer_demands,rosstat,m,"Potential number of population not engaged in labor activities per 100 entered employer demands, persons","Нагрузка не занятого трудовой деятельностью населения на 100 заявленных вакансий, человек ",2015-01-01,FALSE,"Нагрузка не занятого трудовой деятельностью населения на 100 заявленных вакансий, человек ",no,level,sum
money_income_1996,rosstat,q,"Money income (average per capita), in accordance with the methodology for calculating the balance of money incomes and expenditures of population, approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61  ","Денежные доходы (в среднем на душу населения),  рублей в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",2015-01-01,FALSE,"Денежные доходы (в среднем на душу населения),  рублей в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",no,level,sum
money_income,rosstat,q,"Money income (average per capita), in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, approved by order of Rosstat dated July 2, 2014 No. 465 (as amended of November 20, 2018 No. 680)","Денежные доходы (в среднем на душу населения), в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения, утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018 № 680) ",2015-01-01,FALSE,"Денежные доходы (в среднем на душу населения), в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения, утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018 № 680) ",no,level,sum
income_real_1996,rosstat,q,"Real money income, percent of previous period, in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61 ","Реальные денежные доходы, в % к предыдущему периоду, в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",2015-01-01,FALSE,"Реальные денежные доходы, в % к предыдущему периоду, в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",no,level,sum
income_real,rosstat,q,"Real money income, percent of previous period, in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, approved by order of Rosstat dated July 2, 2014 No. 465 (as amended of November 20, 2018 No. 680)","Реальные денежные доходы, в % к предыдущему периоду, в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения,утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018  № 680)",2015-01-01,FALSE,"Реальные денежные доходы, в % к предыдущему периоду, в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения,утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018  № 680)",no,level,sum
income_real_disp_1996,rosstat,q,"Real money income, percent of previous period, in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61 ","Реальные располагаемые денежные доходы, в % к предыдущему периоду, в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61",2015-01-01,FALSE,"Реальные располагаемые денежные доходы, в % к предыдущему периоду, в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61",no,level,sum
li_services,rosstat,q,,Сфера услуг: индекс предпринимательской уверенности,2015-01-01,FALSE,Сфера услуг: индекс предпринимательской уверенности,no,level,sum
