ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason,aggregate
investment_nom,rosstat1,q,,"Инвестиции в основной капитал (млрд руб, в текущих ценах)",2015-01-01,FALSE,"Инвестиции в основной капитал (млрд руб, в текущих ценах)",no,logdiff,sum
invest_fixed_capital_real,rosstat,q,,Инвестиции в основной капитал в постоянных ценах,2015-01-01,FALSE,Инвестиции в основной капитал в постоянных ценах,no,logdiff,sum
invest_fixed_capital_nom,rosstat,q,,Инвестиции в основной капитал в текущих ценах,2015-01-01,FALSE,Инвестиции в основной капитал в текущих ценах,no,logdiff,sum
cpi,rosstat,m,"Consumer price index (end of period, percent of end of previous period) ",Индекс потребительских цен (к концу предыдущего месяца),2015-01-01,FALSE,Индекс потребительских цен (к концу предыдущего месяца),base,logdiff,prod
li_consumer,rosstat,q,,Индекс потребительской уверенности,2015-01-01,FALSE,Индекс потребительской уверенности,no,diff,mean
ipi,rosstat,m,Industrial production index,Индекс промышленного производства (к предыдущему месяцу),2015-01-01,FALSE,Индекс промышленного производства (к предыдущему месяцу),base,logdiff,prod
ppi_freight,rosstat,m,"Freight producer price index (end of period, percent of end of previous period)",Индекс тарифов на грузовые перевозки (к концу предыдущего месяца),2015-01-01,FALSE,Индекс тарифов на грузовые перевозки (к концу предыдущего месяца),base,logdiff,prod
services_real,rosstat1,m,,Индекс физического объема бытовых услуг населению в сопоставимых ценах в % к прошлому году (оперативные данные),2015-01-01,FALSE,Индекс физического объема бытовых услуг населению в сопоставимых ценах в % к прошлому году (оперативные данные),base,logdiff,prod
ppi,rosstat,m,"Producer price index of industrial goods (end of period, percent of end of previous period)",Индекс цен производителей промышленных товаров (к концу предыдущего месяца),2015-01-01,FALSE,Индекс цен производителей промышленных товаров (к концу предыдущего месяца),base,logdiff,prod
freight_turnover_commercial,rosstat,m,"Commercial freight turnover, bln ton-km",Коммерческий грузооборот транспорта (млрд тонн-км),2015-01-01,FALSE,Коммерческий грузооборот транспорта (млрд тонн-км),no,logdiff,sum
wage_nom,rosstat,m,"Accrued average monthly nominal wages per employee,  rubles",Номинальная зарплата,2015-01-01,FALSE,Номинальная зарплата,no,logdiff,sum
li_electricity_1,rosstat,m,,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха: индекс предпринимательской уверенности",2015-01-01,FALSE,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха: индекс предпринимательской уверенности",no,diff,mean
wholesale_real,rosstat1,m,,"Оборот оптовой торговли, индекс физобъема, к предыдущему месяцу",2015-01-01,FALSE,"Оборот оптовой торговли, индекс физобъема, к предыдущему месяцу",base,logdiff,prod
wholesale,rosstat1,m,,"Оборот оптовой торговли, млрд руб (в текущих ценах)",2015-01-01,FALSE,"Оборот оптовой торговли, млрд руб (в текущих ценах)",no,logdiff,sum
retail_real,rosstat,m,"Retail trade turnover, percent of previous period (at constant prices)","Оборот розничной торговли, индекс физобъема (1994.1 =100)",2015-01-01,FALSE,"Оборот розничной торговли, индекс физобъема (1994.1 =100)",no,logdiff,sum
retail_nom,rosstat,m,"Retail trade turnover, bln rubles","Оборот розничной торговли, млрд рублей  (в текущих ценах)",2015-01-01,FALSE,"Оборот розничной торговли, млрд рублей  (в текущих ценах)",no,logdiff,sum
li_manufacturing_1,rosstat,m,,Обрабатывающие производства: индекс предпринимательской уверенности,2015-01-01,FALSE,Обрабатывающие производства: индекс предпринимательской уверенности,no,diff,mean
construction_nom,rosstat,m,"Volume of works in construction activity (at current prices of corresponding years), bln rubles","Объем работ, выполненных по виду деятельности ""Строительство"" (млн руб в текущих ценах)",2015-01-01,FALSE,"Объем работ, выполненных по виду деятельности ""Строительство"" (млн руб в текущих ценах)",no,logdiff,sum
labor_income_nom,rosstat,q,,Оплата труда в текущих ценах,2015-01-01,FALSE,Оплата труда в текущих ценах,no,logdiff,sum
services_market,rosstat,m,"Volume of market services (according to short-term reports), bln rubles","Платные услуги населению, в текущих ценах",2015-01-01,FALSE,"Платные услуги населению, в текущих ценах",no,logdiff,sum
cons_real,rosstat,q,,Потребление домохозяйств в постоянных ценах,2015-01-01,FALSE,Потребление домохозяйств в постоянных ценах,no,logdiff,sum
cons_nom,rosstat,q,,Потребление домохозяйств в текущих ценах,2015-01-01,FALSE,Потребление домохозяйств в текущих ценах,no,logdiff,sum
wage_real,rosstat,m,Accrued average monthly wages per employee percent of previous period,Реальная начисленная заработная плата работников организаций в % к предыдущему периоду,2015-01-01,FALSE,Реальная начисленная заработная плата работников организаций в % к предыдущему периоду,no,logdiff,sum
income_real_disp,rosstat,q,"Real disposable money income, percent of previous period","Реальные располагаемые денежные доходы, к прошлому периоду",2015-01-01,FALSE,"Реальные располагаемые денежные доходы, к прошлому периоду",base,logdiff,prod
li_retail_1,rosstat,q,,Розничная торговля: индекс предпринимательской уверенности,2015-01-01,FALSE,Розничная торговля: индекс предпринимательской уверенности,no,diff,mean
invest_real,rosstat,q,,Совокупные инвестиции в постоянных ценах,2015-01-01,FALSE,Совокупные инвестиции в постоянных ценах,no,logdiff,sum
invest_nom,rosstat,q,,Совокупные инвестиции в текущих ценах,2015-01-01,FALSE,Совокупные инвестиции в текущих ценах,no,logdiff,sum
li_building_1,rosstat,q,,Строительство: индекс предпринимательской уверенности,2015-01-01,FALSE,Строительство: индекс предпринимательской уверенности,no,diff,mean
employed,rosstat,m,"Total number of employed aged 15 years and over, mln person","Численность занятых в возрасте 15 лет и старше, млн человек",2015-01-01,FALSE,"Численность занятых в возрасте 15 лет и старше, млн человек",dismean,logdiff,mean
export_real,rosstat,q,,Экспорт в постоянных ценах,2015-01-01,FALSE,Экспорт в постоянных ценах,no,logdiff,sum
export_nom,rosstat,q,,Экспорт в текущих ценах,2015-01-01,FALSE,Экспорт в текущих ценах,no,logdiff,sum
ipi_mining,rosstat,m,Mining and quarrying,"Индексы производства по видам деятельности: Добыча полезных ископаемых, отчетный месяц в % к предыдущему месяцу ",2015-01-01,FALSE,"Индексы производства по видам деятельности: Добыча полезных ископаемых, отчетный месяц в % к предыдущему месяцу ",no,level,sum
ipi_manufacturing,rosstat,m,Manufacturing,"Индексы производства по видам деятельности: Обрабатывающие производства, отчетный месяц в % к предыдущему месяцу",2015-01-01,FALSE,"Индексы производства по видам деятельности: Обрабатывающие производства, отчетный месяц в % к предыдущему месяцу",no,level,sum
ipi_electricity,rosstat,m,"Electricity, gas, steam and air conditioning supply","Индексы производства по видам деятельности: Обеспечение электрической энергией, газом и паром; кондиционирование воздуха, отчетный месяц в % к предыдущему месяцу",2015-01-01,FALSE,"Индексы производства по видам деятельности: Обеспечение электрической энергией, газом и паром; кондиционирование воздуха, отчетный месяц в % к предыдущему месяцу",no,level,sum
ipi_water,rosstat,m,"Water supply; sewerage, waste management and remediation activities","Индексы производства по видам деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений, отчетный месяц в % к предыдущему месяцу",2015-01-01,FALSE,"Индексы производства по видам деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений, отчетный месяц в % к предыдущему месяцу",no,level,sum
api,rosstat,m,Agricultural production index,Индекс производства продукции сельского хозяйства в хозяйствах всех категорий,2015-01-01,FALSE,Индекс производства продукции сельского хозяйства в хозяйствах всех категорий,no,level,sum
animal_livestock,rosstat,m,"Production of animal husbandry products at enterprises of all types: Livestock and poultry for slaughter (live weight), thou tons","Производство продуктов животноводства в хозяйствах всех категорий Скот и птица  на убой в живом весе, тыс.тонн",2015-01-01,FALSE,"Производство продуктов животноводства в хозяйствах всех категорий Скот и птица  на убой в живом весе, тыс.тонн",no,level,sum
animal_milk,rosstat,m,"Production of animal husbandry products at enterprises of all types: Milk, thou tons","Молоко, тыс.тонн ",2015-01-01,FALSE,"Молоко, тыс.тонн ",no,level,sum
animal_eggs,rosstat,m,"Production of animal husbandry products at enterprises of all types: Eggs, mln pieces","Яйца, млн штук ",2015-01-01,FALSE,"Яйца, млн штук ",no,level,sum
freight_turnover,rosstat,m,"Freight turnover of transport, including commercial and noncommercial freight turnover, bln ton-km","Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ",2015-01-01,FALSE,"Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ",no,level,sum
freight_loading_railway,rosstat,m,"Freight loading on railway transport, mln ton","Погрузка грузов на железнодорожном транспорте,  млн тонн",2015-01-01,FALSE,"Погрузка грузов на железнодорожном транспорте,  млн тонн",no,level,sum
investment_fc,rosstat,q,"Investments in fixed capital, bln rubles","Инвестиции в основной капитал, млрд рублей",2015-01-01,FALSE,"Инвестиции в основной капитал, млрд рублей",no,level,sum
investment_fc_own_funds,rosstat,q,"Investments in fixed capital, own funds of organizations, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: собственные средства предприятий",2015-01-01,FALSE,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: собственные средства предприятий",no,level,sum
investment_fc_external_funds,rosstat,q,"Investments in fixed capital, external funds, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: привлеченные средства",2015-01-01,FALSE,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: привлеченные средства",no,level,sum
investment_fc_budget_funds,rosstat,q,"Investments in fixed capital, of which budget funds, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них бюджетные средства",2015-01-01,FALSE,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них бюджетные средства",no,level,sum
investment_fc_federal_budget,rosstat,q,"Investments in fixed capital, from federal budget, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них средства из федерального бюджета",2015-01-01,FALSE,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них средства из федерального бюджета",no,level,sum
