ticker, source, name_eng, name_rus, observation_start
IMOEX, moex, MOEX Russia Index,Индекс МосБиржи, 1997-09-22
MOEX10, moex, MOEX 10 Index,Индекс МосБиржи 10, 1998-01-06
RTSI, moex, RTS Index,Индекс РТС, 1995-09-01
RTSOG, moex, RTS Oil & Gas Index,Индекс РТС нефти и газа, 1999-12-31
RGBI, moex, MOEX Government Bond Index Clean Price,Индекс Мосбиржи государственных облигаций ценовой, 2003-01-01
RGBITR, moex, MOEX Government Bond Index,Индекс Мосбиржи государственных облигаций, 2003-01-01
